"Affiliated entity","Affiliated entity ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who made improvements in function","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay high-risk residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay low-risk residents who lose control of their bowels or bladder","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF","Average percentage of current residents up to date with COVID-19 vaccines","Average percentage of healthcare personnel up to date with COVID-19 vaccines"
"ACCURA HEALTHCARE",8,31,4,0,0,0,0,96.8,3.2,0,2.5,2.5,3.4,2.8,3.6,3.1,0.8,49.3,52.2,0.6,49,1.6,868406.41,28013.11,13,0.4,26.2,14.1,1.4,2.3,80.7,73.9,90.3,1.8,1.36,17.5,4.2,6.1,2.8,1.5,21.2,17.5,96.5,94.8,0,48.2,5,4.3,18.4,10.2,47.6,17.3
"ACTS RETIREMENT-LIFE COMMUNITIES",9,26,9,0,0,0,0,11.5,88.5,0,4.4,3.7,4.7,4.2,4.6,4.1,1.3,36.4,35.7,0.7,34,1.3,509331.65,19589.68,2,0.1,22.3,11.6,1.2,2.4,80.4,93.7,88.2,1.4,0.75,12,6.3,4.7,2.5,1.4,19,15.3,98.6,95.5,0,62.5,5.5,1.9,16,10.5,49.9,25.8
"ADAMS COUNTY MEMORIAL HOSPITAL",10,9,1,0,1,3,33.3,22.2,22.2,55.6,2.8,3,2.4,3.6,3.6,3.2,0.7,59.9,46.1,0.4,15,1.7,188617.94,20957.55,1,0.1,19.7,8.2,0.7,3.3,70.8,70.7,82.2,2.15,1.06,11.5,4.1,5.9,4.4,1.6,18,14.8,95.4,95,0,58,5.7,6.3,17.9,10.2,18.5,0.6
"ADVANCED HEALTH CARE",11,22,8,0,0,0,0,100,0,0,4.8,4.4,4.5,5,5.8,4.8,1.6,50,44.8,0.3,46,2.1,427213.17,19418.78,1,0,19.4,10.6,0.3,1.8,84.2,92.1,95.7,"","","","","","","","","","","","","","","","",10.9,22,7.6
"ADVANCED HEALTH CARE MANAGEMENT",12,7,3,0,0,0,0,100,0,0,2.7,3,3.3,2.3,3.9,3.1,0.5,44.1,43.4,0.2,10,1.4,87016.61,12430.94,0,0,25.4,14.5,2,1.8,73.7,91.4,93.7,2.7,1.8,14.7,3.5,8.2,2.2,1,21.1,18.5,97.8,97.3,0,47.2,3.8,1.2,22.6,12.3,18.3,1.2
"ADVANCED HEALTHCARE SOLUTIONS",13,33,1,0,1,2,6.1,72.7,0,27.3,2.3,2.3,1.5,3.7,3.1,2.7,0.3,49.8,50.5,0.5,50,1.5,1320162.46,40004.92,5,0.2,20.2,16.2,2,1.7,74.3,90.2,94.8,1.89,1.26,8.5,3.1,8.5,0.1,1,14.3,14.7,98.9,99.8,0,47.5,4.7,3.8,19.3,10.7,30.2,8.2
ADVINIACARE,16,15,2,0,1,1,6.7,100,0,0,2.4,2.6,2.1,2.9,3.3,3,0.5,57.9,71.7,1.2,31,2.1,717513.8,47834.25,2,0.1,26.5,15.2,1.9,2.6,74.7,74.9,77.9,1.93,1.1,15.9,3.8,6.8,1.8,0.9,21.1,17.9,91.7,94.6,0.1,59.8,6.6,2.3,15.8,11.3,36.8,18.7
"AHAVA HEALTHCARE",17,6,3,0,0,1,16.7,100,0,0,1.7,1.5,1.7,2.8,3.4,2.9,0.4,68.6,64.2,1,19,3.2,507754.09,84625.68,0,0,26.4,17.9,1.4,1.1,78.7,72.3,74,1.71,1.58,19.9,3.8,5.8,2.4,0.5,18.3,15.5,95.8,91.1,0,50.6,7,25,28.5,10.1,7.6,25.3
"AHMC HEALTHCARE",18,5,1,0,0,0,0,100,0,0,3.6,3.6,3.8,4.4,6.7,6.2,2,24.8,18.7,"",14,2.8,179314.47,35862.89,1,0.2,20.9,3.6,0,0.8,81.9,84.8,86.8,1.72,0.45,4.9,0.5,20,2.7,7.5,16.8,13,97.6,98.7,1.1,40.2,5,0,11.8,11.3,47.4,15.5
"AJC HEALTHCARE",616,12,1,0,0,2,16.7,91.7,0,8.3,2.4,2.2,2.2,4.6,3.8,3.3,0.3,48.9,74.3,1.6,34,2.8,360221.42,30018.45,3,0.3,20.4,12.5,2.4,1.4,79.7,90,90.8,2.36,1.34,6.9,2.1,4.8,1.4,0.2,7.2,5.1,95.4,97.2,0,30.1,3.5,6,14,10.4,14.5,1.6
"AKIKO IKE",582,8,3,0,0,1,12.5,100,0,0,1.4,1.5,1.8,2.6,3.4,3,0.5,64,70.8,1.4,32,4,912941.58,114117.7,3,0.4,24.9,12.2,1.8,1.7,72.4,36.3,33.4,1.94,1.2,19.1,3.3,7.1,1.6,1.6,21.1,19.9,86.1,68.5,0,47.3,6,6.6,16.7,10.3,33.8,8.2
"ALARIS HEALTH",20,6,1,0,0,1,16.7,100,0,0,3.2,2.5,4.5,4.3,4.5,3.9,1.1,42.3,46.4,1.3,4,0.7,80522,13420.33,0,0,20.6,10.1,1,1.9,87.8,80.3,84.4,2.35,1.18,10.8,2.1,9.1,1.3,1.3,9.2,9.5,98.9,97,0.1,32.5,4.2,0.3,14.5,11,43.5,18.8
"ALEXANDER PLATSCHEK & BENJAMIN LANDA",622,4,2,0,0,0,0,100,0,0,4,4,2.8,3.3,4,3.6,0.6,59.3,54.2,1,2,0.5,13214.5,3303.63,0,0,22.4,14,1.8,4.2,62,71.9,65.6,1.84,0.93,15.3,3.3,8.4,1.3,0.4,16,10.8,96.2,79.5,0,36.5,3.8,6.9,28,11.1,18.2,1.2
"ALLAIRE HEALTH SERVICES",21,12,3,0,2,1,8.3,91.7,0,8.3,1.8,1.7,3,3.8,3.9,3.3,0.5,56.5,51.4,0.5,27,2.3,555931.54,46327.63,4,0.3,23.9,10.1,1.1,3.9,86.9,71.2,72.3,2,1.27,17,3.5,9.3,1,0.4,11.1,9.5,97,87.2,0,52,8,6.1,17,10.2,30.4,13.1
"ALLEGIANT HEALTHCARE",22,6,2,0,0,3,50,100,0,0,1.8,1.3,2.5,3.8,3.9,3.4,0.5,62.3,65.3,1,22,3.7,227429.64,37904.94,0,0,25.7,8.4,1,2.1,72.9,84.7,91.2,1.95,1.17,8.9,3.3,9.2,1,1.3,15.7,12.7,97.1,98.9,0.3,45.8,8.4,4.5,23.1,11.6,21.1,0.2
"ALLIANCE HEALTH & HUMAN SERVICES",23,7,1,0,0,1,14.3,0,100,0,3.9,3.7,4,3.4,4,3.4,0.7,47.4,45.5,0,7,1,82811.89,11830.27,0,0,27.1,13.2,1,3.2,80.4,81.7,83.5,1.85,0.82,15.8,5.5,6.8,2.6,1.2,16.3,14.1,97.3,95.4,0.1,48.1,5.2,0.7,15.4,11.8,53.8,8.5
"ALLURE GROUP",24,6,1,0,0,0,0,100,0,0,2.5,2.3,2,4.2,3.6,3.1,0.7,34.6,42.9,0.6,9,1.5,23597.25,3932.88,0,0,20.8,12.5,1.2,1.7,82.8,57.9,63.4,1.81,0.87,4.9,1.5,11.5,0.8,0.3,12.4,11.5,89,84,0,39.2,7.2,22.1,6.4,9.4,26.3,0.4
"ALLURE HEALTHCARE SERVICES",25,15,1,0,0,1,6.7,93.3,6.7,0,2.9,3.3,2,3.5,3.5,3.1,0.6,63.5,65.9,2.4,19,1.3,543026.8,36201.79,6,0.4,22.8,16.6,1.4,3.4,70.4,66.9,75.2,1.34,1.05,19.2,4.2,6.7,3.7,1,16,14.1,93.3,95.2,0,43.9,5.9,38.2,21.8,10,39.8,8.6
ALTERCARE,26,24,1,0,0,0,0,100,0,0,3.4,3,2,4.7,3.6,3.1,0.7,"","","",51,2.1,372249,15510.38,2,0.1,19.4,10.8,1.6,2.2,85.1,70.6,68.3,1.37,0.98,8.9,2.7,6.1,1.8,0.2,15.1,11.5,94.3,87.6,0,54.5,5.7,21.6,23.5,10.5,22.5,5.1
"AMA HOLDINGS",27,10,1,0,1,1,10,100,0,0,1.1,1.4,1.4,2.2,3.3,2.9,0.3,78.7,75.3,1.4,38,3.8,738219.72,73821.97,7,0.7,27,12.4,1.3,2.6,72.3,55.6,63.7,2.54,1.35,17,3.3,9.6,1.3,0.5,25.3,27.3,79.5,81,0,39.1,4.9,28.2,17.9,10.6,59.8,50.6
"AMBASSADOR HEALTH",28,4,2,0,0,0,0,100,0,0,4.5,4.3,4.3,3.8,5.1,4.4,1,39.3,25.9,0.5,4,1,16905.01,4226.25,0,0,22.7,11,1.3,1.2,65.7,79.3,76,1.67,1.21,16,2.9,5.6,2.4,0.8,12.9,11.5,94.5,77.4,0.8,47.1,3.2,4,26,10.9,33.6,14.1
"AMERICAN BAPTIST HOMES OF THE MIDWEST",29,5,5,0,0,0,0,0,100,0,2.6,2,4,3.8,4.2,3.6,0.8,56.9,45.2,0.2,13,2.6,85567.54,17113.51,1,0.2,26.9,15.9,1.2,2.3,76.8,69.8,88.7,1.55,1.22,16.6,3.6,5.3,2.9,1.1,16.6,13.4,97.5,96.5,0,58.1,3.8,1.5,8.6,9.6,14.7,1.3
"AMERICAN HEALTH COMMUNITIES",30,28,2,0,1,2,7.1,100,0,0,2.3,2.4,2.5,2.7,3.7,3.1,0.5,50.2,45.8,0.4,47,1.7,966017.31,34500.62,2,0.1,22.3,13.9,1.6,3.3,81.2,69,67.9,1.65,1.16,19.4,2.9,10.1,4.1,2,23.7,17.6,86.6,82.1,0,45.8,6.9,11.9,29.5,11.3,13.7,8.4
"AMERICAN HEALTH FOUNDATION",31,6,2,0,1,1,16.7,0,100,0,2.2,2.2,2,3.2,3.7,3.3,0.5,62,48.9,1.7,15,2.5,502976.41,83829.4,3,0.5,25.4,13.3,1.8,1.1,70.5,68.4,67,1.72,0.83,12.5,4.4,4.9,1.2,1.2,21.7,17.6,95.2,86.6,0,49.1,9.2,10.4,25.6,9.9,38.1,9
"AMERICAN SENIOR COMMUNITIES",33,77,1,0,0,5,6.5,41.6,28.6,29.9,3.3,3.2,2,4.4,3.5,3,0.5,54.1,43.3,0.7,61,0.8,1002902.5,13024.71,2,0,22,12.3,1.2,3,84,88.9,89.4,1.72,1.17,8.3,4.1,6.4,1.2,0.5,5.4,11.1,98.5,96.7,0,63.8,4.8,19.8,21.5,10.5,23.8,2.1
"AMERICARE SENIOR LIVING",34,23,2,0,0,2,8.7,100,0,0,3.7,3.7,2.8,3.3,3.6,3.1,0.6,52.8,42.9,0.5,25,1.1,292828.4,12731.67,1,0,22.6,13.4,2.6,1.6,78.8,69.3,83.5,1.91,1.55,20.4,5.8,7.3,2.5,1.7,15.3,14.9,95.2,96.3,0,43.5,6.1,5.4,25.3,10.4,37.4,5.2
"ANEW HEALTHCARE",35,8,3,0,2,3,37.5,87.5,0,12.5,1.5,1.5,1.8,2.1,3.2,2.8,0.4,70.9,70,2,25,3.1,406866.64,50858.33,3,0.4,27.4,22.9,1.9,0,81.7,49.5,43,1.99,1.27,18.8,3,8.9,4.2,2.1,23.5,22.6,91.2,69.1,0,38.8,7.5,8.7,24.9,10.5,0.8,0
"ANTHONY & BRYAN ADAMS",36,37,2,0,0,1,2.7,100,0,0,3.4,3.2,2.6,3.7,3.7,3.1,0.3,58,55.9,0.6,30,0.8,329372.1,8901.95,4,0.1,26,12.7,1.1,3.9,86.7,68.4,74,2.02,1.36,8,4,8.3,2,1.2,9.4,12.4,94.9,91.8,0,38.4,4.4,0.7,18.5,10.8,31.9,0.1
"AOM HEALTHCARE",37,9,1,0,2,2,22.2,100,0,0,2.2,2.1,1.6,3.6,3.2,2.8,0.4,52.6,52.1,0.8,44,4.9,711197.94,79021.99,3,0.3,24.2,14.9,2.5,4.1,80.6,60.2,61.2,1.75,1.61,12.7,3.1,9.6,0.4,0.4,8.4,12.1,90.2,80.8,0.2,33.8,7.2,24.2,27.4,10.8,34.6,0.9
"APERION CARE",38,38,2,1,2,14,36.8,100,0,0,1.9,2.1,1.4,3,2.9,2.5,0.5,53.5,51.4,0.6,173,4.6,5137279.5,135191.57,53,1.4,26.1,15.1,3.2,2.7,71.7,49.2,46.3,2.06,1.65,24.2,2.4,8.2,0.6,0.6,11.1,10.3,92.6,71.9,0.1,42.7,6.8,74.5,18.7,10.4,32.1,3.1
"APPLE REHAB",39,19,2,0,0,6,31.6,100,0,0,1.6,1.7,2.1,2.3,3.2,2.8,0.6,49.6,56.5,0.8,42,2.2,850100.62,44742.14,0,0,24.2,14.9,1.8,3,73.4,51.7,44.1,2.58,1.32,16.5,4.2,6.2,3,2,26.2,20.8,88.4,70.9,0,42.8,8.5,1.1,14.9,10.6,35.4,12.7
"ARABELLA HEALTHCARE MANAGEMENT",633,10,1,0,0,0,0,100,0,0,2.2,2.1,2.9,3.4,3.2,2.7,0.5,68.9,75.9,1.7,60,6,291481.76,29148.18,2,0.2,23.7,14.1,4.2,2.3,80.3,55.3,52,2.12,2.14,21.4,1.8,9.1,1.5,1.1,14,11.9,94.4,72.4,0,36.5,5.9,3.1,21.6,10.6,36.5,11.3
"ARBOR CARE CENTERS",40,9,1,0,0,1,11.1,100,0,0,2.8,2.9,2.2,3.4,3.3,2.8,0.6,56.3,53.2,0.8,11,1.2,65786.5,7309.61,3,0.3,29,10.9,2.1,5.2,90.6,83.2,87.4,1.7,1.05,22,2.9,7.1,2.8,1,17.2,12.6,98.1,97.1,0,53.1,5.5,2.8,22.7,10.3,31.5,2.2
"ARBORETA HEALTHCARE",618,24,5,0,2,4,16.7,95.8,0,4.2,1.4,1.8,1.4,2.1,2.7,2.4,0.6,77.1,78.1,3.4,37,1.5,1289763.5,53740.15,8,0.3,21.8,15.3,3.6,5.6,82.1,60.2,63,1.82,1.75,21.9,3.3,7.6,2.7,1.3,21.1,19.6,92.7,81,0,46.5,6,5.4,24.5,10.4,44.2,0.9
"ARBORS AT OHIO",41,15,1,0,1,7,46.7,100,0,0,2.2,1.9,2.3,4.1,3.6,3.1,0.6,50.3,47,1.1,26,1.7,904947.45,60329.83,3,0.2,22.1,13,2.2,4.5,86.2,74.2,75.7,1.79,1.51,12.1,3.1,7.5,0.7,0.4,9.7,9.1,98.1,95,0.1,45.3,7.1,3,27.3,10.4,19.3,0.4
"ARCADIA CARE",42,10,1,0,4,4,40,100,0,0,2.2,2.4,1.5,3.2,2.9,2.6,0.5,59,62.3,0.5,33,3.3,1355358.77,135535.88,11,1.1,22.4,15.4,1.7,2.6,68.8,72.9,82.9,2,1.32,14.9,3.4,5.7,1.5,1.2,13.5,9.9,95.2,90.2,0,46.9,7.4,51.8,20.6,10.3,45,3.6
ARCHCARE,43,6,1,0,0,1,16.7,16.7,83.3,0,2.3,2.3,1.7,4.2,3.2,2.8,0.8,54.6,60.4,1,6,1,50555.75,8425.96,0,0,21.2,9.8,1.2,2,86.4,73,71,1.93,0.86,8.8,2.6,6.9,0.9,0.3,10.8,10.8,94.3,85.6,0.2,61.5,8.3,5.1,12.2,9.8,21.1,5.1
ARISTACARE,45,7,2,0,1,1,14.3,100,0,0,1.6,1.4,2.6,2.9,3.4,2.9,0.5,51,53.3,1,28,4,755729.25,107961.32,1,0.1,25.6,9.2,2.2,3.4,84.8,65,53.3,2.41,1.27,21.4,2.5,11.1,1,1.7,10.8,14.1,94.8,81.2,0.1,30,7.1,17.1,25.1,9.8,48,16.1
"ARROWHEAD HEALTHCARE PARTNERS",46,5,1,0,0,0,0,60,0,40,2.2,2.4,1,4.8,3,2.7,0.3,62.9,71.5,2,6,1.2,193371.55,38674.31,0,0,21.6,8.2,0.9,1.4,82.7,85.4,92.2,1.4,0.5,6,2.9,6.4,0.6,0.7,16.1,16.9,99.5,100,0,60.7,5.6,3.5,17.1,12.2,10.2,0
"ASBURY COMMUNITIES",47,8,3,0,1,0,0,0,100,0,3.4,3,3.8,3.6,4.1,3.6,0.8,45.3,37.7,0.8,8,1,343297.08,42912.13,2,0.3,21.3,12.8,2.2,3.6,78.1,75.8,85.7,1.44,0.72,12.9,3.7,7.3,3.7,1.2,24.7,14.9,97.6,95.9,0,63,6.5,1.3,14.5,10.8,54.8,18.5
"ASCENSION LIVING",48,27,12,0,0,2,7.4,0,100,0,2.7,2.5,3.5,3.3,3.8,3.4,0.8,58.5,49.6,0.6,43,1.6,1603663.6,59394.95,8,0.3,22.8,13.3,1.3,2.8,72.2,74,78,2.04,1.18,13,4.4,8,3,1.3,19.2,16,93.2,92.9,0,48.8,5.9,6.4,15.7,10.3,37.5,2.9
"ASCENTRIA CARE ALLIANCE",49,5,2,0,0,0,0,0,100,0,4,4,4,2.8,4.2,3.6,0.6,44.4,50.4,1.4,9,1.8,74488.78,14897.76,0,0,23.2,16.1,1.7,3.9,66.3,79.9,79.6,1.99,1.15,14.2,3.7,6.5,2.3,0.8,15.7,11.9,97,91.3,0.2,59.7,5.9,1.2,13.7,9.8,37.3,8
"ASPEN SKILLED HEALTHCARE",50,25,1,0,1,1,4,100,0,0,3.5,3,3.4,4.3,4.2,3.8,0.6,45.6,48.5,0.4,63,2.5,705056.4,28202.26,3,0.1,23.5,12.3,1.4,1.1,82.3,97.5,98.2,2.02,1.02,7.3,1.9,7.7,1.3,1.9,15.3,7.9,99.1,99.6,0,45,5.4,3,9.1,10.6,22.2,6.4
"ASPIRE SENIOR LIVING",51,8,1,0,0,0,0,100,0,0,2,2.5,2.1,2,3.5,3,0.4,63.1,65.3,0.2,27,3.4,186859.67,23357.46,1,0.1,26.3,13.7,5,1.1,64.3,59.1,61.3,2.15,1.71,25.7,4.3,8.6,6.5,1.6,13.6,15.3,87.2,80.4,0,25.4,6,10.6,23.6,10.7,45.3,9.8
"ATHENA HEALTHCARE SYSTEMS",52,41,3,0,5,12,29.3,100,0,0,1.7,1.8,2.8,2.3,3.4,3,0.6,43.1,51.4,0.7,114,2.8,4447716.62,108480.89,9,0.2,23.6,14.5,2.4,1.9,70.4,53.2,54.2,2.27,1.51,24.9,3.6,6.1,2.2,1.8,19.4,17.3,86.9,83,0,44.2,6.6,3.7,23.3,10.6,14.1,2.1
"ATIED ASSOCIATES",53,18,4,0,2,6,33.3,100,0,0,2.2,2.4,1.9,2.5,3.1,2.7,0.6,45,42.1,3.3,77,4.3,1956102.54,108672.36,20,1.1,29,12.3,2.7,2.2,68.7,50.7,47.9,2.17,1.36,19.7,2.6,7.4,2.2,1.7,13.6,13.8,88.5,73.5,0,43.9,6.2,48.1,14.6,10.7,37.9,17.2
"ATLAS HEALTHCARE",598,11,2,0,0,1,9.1,100,0,0,3,2.6,2.4,4.6,3.5,3.1,0.5,54.7,56,0.5,20,1.8,242238.38,22021.67,1,0.1,23.4,8.7,1.3,2.3,89.6,74.9,72.2,1.62,0.57,12.7,2.3,7,0.6,0.3,9.4,8.2,96.5,92.6,0,54.3,6.4,4.5,16.9,10.6,46.9,3.3
"ATRIUM CENTERS",54,28,4,0,0,2,7.1,100,0,0,2.5,2.4,2.9,3.6,3.7,3.3,0.8,50.7,47.7,0.4,59,2.1,2315185.46,82685.2,21,0.8,24,15.1,2,3.8,78,70.4,66.9,1.6,1.48,16.1,3.8,8.3,3.9,2,9.6,13.1,92.3,87,0.1,34.4,6.9,10.6,17.7,10.6,24,4.6
"ATRIUM HEALTH",55,5,1,0,0,0,0,0,100,0,3.4,3.6,3,2.4,3.6,3.1,0.6,53.8,34.1,0.8,2,0.4,5650,1130,0,0,20.5,10.5,2.1,3,66.7,84.3,78,1.81,1.02,10.4,1.6,15.4,3.1,1.4,37.2,23.2,97.5,88.4,0,54.5,5.6,1.3,24.7,10.6,16,3.7
"AUTUMN LAKE HEALTHCARE",56,48,5,0,1,3,6.3,100,0,0,2.1,2.3,1.9,3.2,3.5,3.1,0.6,59.6,58.1,0.8,80,1.7,1130137.73,23544.54,6,0.1,23.4,10,1.4,2.9,73.8,73,76.9,1.44,0.88,12.9,2.1,9.5,1.5,1,26.5,23.1,95.2,90.4,0,68.3,6.1,21.2,13.8,11.8,42.9,12.5
"AVALON HEALTH CARE",57,20,5,0,1,2,10,95,0,5,3.1,2.7,3.4,4,4.3,3.9,0.8,58.6,54.9,0.6,59,3,1153579.5,57678.98,4,0.2,17.4,15.9,1.4,2.4,74.9,85.9,87,1.24,0.98,11.5,3.3,7.1,1.9,1.1,17.9,12.7,97.1,97.1,0,49.5,4.7,7.8,16.4,10.2,32.2,6.2
